,,,,
Theme: Industry,,,,
"Subject: Agriculture, Animal Production and Fisheries",,,,
Topic: Food Supply,,,,
"Table Title: Seafood Supply And Wholesale, Monthly",,,,
,,,,
Data last updated: 30/12/2022,,,,
"Source: AGRI-FOOD AND VETERINARY AUTHORITY, SINGAPORE FOOD AGENCY, ENTERPRISE SINGAPORE",,,,
,,,,
Data Series,Local Landings Of Seafood (Tonnes),Imports Of Seafood (Tonnes),Exports Of Seafood (Tonnes),Seafood Wholesale (Tonnes)
  2022 Nov,13,na,na,2482
  2022 Oct,14,na,na,2601
  2022 Sep,16,na,na,2589
  2022 Aug,17,na,na,2724
  2022 Jul,15,na,na,2467
  2022 Jun,15,na,na,2503
  2022 May,17,9382,1030,2319
  2022 Apr,16,10469,1162,2897
  2022 Mar,18,9538,1061,2910
  2022 Feb,21,7515,1423,2241
  2022 Jan,32,10749,1200,3390
  2021 Dec,23,12310,1697,3421
  2021 Nov,16,11127,1302,3173
  2021 Oct,27,9726,1378,3034
  2021 Sep,25,10046,1687,3177
  2021 Aug,25,9957,1945,3026
  2021 Jul,32,9778,1117,2643
  2021 Jun,12,9638,966,3384
  2021 May,29,10094,1126,3422
  2021 Apr,29,10574,1124,3515
  2021 Mar,29,11025,2141,3428
  2021 Feb,31,8385,2892,2950
  2021 Jan,32,11140,1258,3729
  2020 Dec,31,13369,1262,3621
  2020 Nov,28,10982,1579,3446
  2020 Oct,31,11513,1190,3760
  2020 Sep,33,11335,1565,3812
  2020 Aug,27,10370,1663,3440
  2020 Jul,27,11595,1836,3728
  2020 Jun,23,9776,1082,3587
  2020 May,34,8245,1404,3270
  2020 Apr,38,12077,1833,3523
  2020 Mar,32,10329,1258,4154
  2020 Feb,35,8418,1589,3243
  2020 Jan,18,10499,1294,3470
  2019 Dec,29,11887,1346,3448
  2019 Nov,71,11235,1690,3394
  2019 Oct,77,12127,1359,3660
  2019 Sep,178,9783,874,3516
  2019 Aug,85,10371,1815,3570
  2019 Jul,340,12235,2493,3770
  2019 Jun,221,8332,1292,2965
  2019 May,111,10783,1245,3718
  2019 Apr,94,10591,1053,3347
  2019 Mar,110,9208,1368,3173
  2019 Feb,49,6972,1018,2565
  2019 Jan,52,11879,1606,3783
  2018 Dec,73,11297,1349,3633
  2018 Nov,114,11046,1170,3577
  2018 Oct,188,11523,1625,3882
  2018 Sep,147,10295,1250,3312
  2018 Aug,143,10818,2567,3527
  2018 Jul,119,10116,2048,3346
  2018 Jun,113,9175,1662,2879
  2018 May,148,9607,1336,3262
  2018 Apr,121,9444,1048,3570
  2018 Mar,66,9138,1398,3257
  2018 Feb,39,7282,1043,2975
  2018 Jan,40,11465,1826,4136
  2017 Dec,36,9986,1539,3312
  2017 Nov,63,9838,1221,3749
  2017 Oct,123,10984,1666,4167
  2017 Sep,91,9081,1609,3722
  2017 Aug,188,11073,1837,4135
  2017 Jul,156,9416,1521,3778
  2017 Jun,125,9303,1156,3288
  2017 May,102,9397,1045,3922
  2017 Apr,101,9467,907,3627
  2017 Mar,50,10597,2221,4084
  2017 Feb,39,7873,1542,3396
  2017 Jan,33,9336,1280,4231
  2016 Dec,38,10029,1633,3557
  2016 Nov,118,10607,1353,3845
  2016 Oct,126,10525,2416,3998
  2016 Sep,128,10052,1712,3940
  2016 Aug,132,10846,1987,4087
  2016 Jul,116,9218,1345,3588
  2016 Jun,151,9601,1532,3841
  2016 May,103,8940,1281,4041
  2016 Apr,98,9413,1179,4016
  2016 Mar,115,10076,1953,4332
  2016 Feb,54,7478,1439,3375
  2016 Jan,56,10078,1628,4471
  2015 Dec,67,11294,2207,4002
  2015 Nov,112,10821,2054,4204
  2015 Oct,111,10380,1863,4298
  2015 Sep,91,10597,1545,4024
  2015 Aug,117,10314,1948,4106
  2015 Jul,100,10942,2976,3890
  2015 Jun,102,9333,1491,4014
  2015 May,105,9662,1581,4093
  2015 Apr,75,9818,1901,4205
  2015 Mar,113,9950,2100,4283
  2015 Feb,118,8653,1738,3850
  2015 Jan,153,9814,1421,4467
  2014 Dec,157,11019,1130,4422
  2014 Nov,168,9762,1207,4446
  2014 Oct,141,11321,1500,4903
  2014 Sep,129,10628,1336,4563
  2014 Aug,140,9351,1287,4393
  2014 Jul,95,10267,1597,4282
  2014 Jun,122,9601,1279,4030
  2014 May,107,10051,1216,4584
  2014 Apr,98,9861,1672,4566
  2014 Mar,93,10125,1477,4811
  2014 Feb,104,7625,984,4073
  2014 Jan,80,10247,1907,4929
  2013 Dec,111,10963,1547,4657
  2013 Nov,173,10188,1830,4950
  2013 Oct,131,11120,1777,5234
  2013 Sep,119,10967,2179,4985
  2013 Aug,130,9854,2273,4675
  2013 Jul,144,11294,2544,5300
  2013 Jun,144,11284,3243,4743
  2013 May,157,10179,1702,5191
  2013 Apr,95,9593,1454,4867
  2013 Mar,141,9622,2939,4933
  2013 Feb,150,6810,1539,4052
  2013 Jan,149,10941,2339,5507
  2012 Dec,179,10583,1491,5002
  2012 Nov,204,9931,1796,5229
  2012 Oct,158,11746,3612,5669
  2012 Sep,172,10429,2088,5221
  2012 Aug,178,10579,2359,5059
  2012 Jul,192,11652,3672,5161
  2012 Jun,189,9703,3137,4679
  2012 May,167,11062,2135,5163
  2012 Apr,165,9563,2694,5121
  2012 Mar,117,10626,2373,4968
  2012 Feb,121,8818,1880,5064
  2012 Jan,127,9290,1592,5069
  2011 Dec,75,11647,2775,5148
  2011 Nov,167,10694,2757,5262
  2011 Oct,166,11038,2360,5640
  2011 Sep,57,11322,3644,5266
  2011 Aug,176,11867,2290,5345
  2011 Jul,180,10384,2269,5101
  2011 Jun,155,10360,1988,4583
  2011 May,133,10505,2793,5425
  2011 Apr,65,10823,2471,5298
  2011 Mar,128,11395,3293,5237
  2011 Feb,126,7520,1929,4130
  2011 Jan,191,11518,2822,6200
  2010 Dec,135,11156,3214,4762
  2010 Nov,241,11017,3722,5017
  2010 Oct,160,10155,2008,4745
  2010 Sep,31,10333,3283,4372
  2010 Aug,160,11622,3565,4478
  2010 Jul,37,11497,2706,4477
  2010 Jun,179,10051,4563,4460
  2010 May,99,12707,2738,5543
  2010 Apr,184,10480,3559,5734
  2010 Mar,160,10601,2861,5146
  2010 Feb,147,9215,3073,4847
  2010 Jan,197,11284,3225,5307
  2009 Dec,206,10982,2575,5648
  2009 Nov,212,10609,2779,5575
  2009 Oct,174,12426,3307,6446
  2009 Sep,205,10825,3945,4990
  2009 Aug,191,11071,3229,5467
  2009 Jul,107,12691,4328,5543
  2009 Jun,162,12124,5268,5707
  2009 May,106,11226,2874,3631
  2009 Apr,166,10419,2720,5428
  2009 Mar,160,10797,2558,5472
  2009 Feb,217,8611,2204,5559
  2009 Jan,217,9634,2347,5866
  2008 Dec,199,10428,2298,5869
  2008 Nov,163,9936,3103,5023
  2008 Oct,124,11417,4210,5812
  2008 Sep,118,11903,3702,5390
  2008 Aug,117,11492,4495,5614
  2008 Jul,105,13052,4913,5595
  2008 Jun,104,10745,3926,5325
  2008 May,120,11591,3618,5802
  2008 Apr,100,11065,2890,5529
  2008 Mar,135,11495,3646,6732
  2008 Feb,175,8138,2509,4743
  2008 Jan,163,13066,3334,5854
  2007 Dec,225,10546,2889,5948
  2007 Nov,179,11223,2691,5956
  2007 Oct,387,12102,3889,6398
  2007 Sep,325,10127,2785,6027
  2007 Aug,385,11676,4201,6458
  2007 Jul,396,13084,6343,6465
  2007 Jun,298,13125,4574,5863
  2007 May,277,13463,6479,6188
  2007 Apr,367,12190,2886,6045
  2007 Mar,212,10820,2977,6112
  2007 Feb,223,9637,4307,5560
  2007 Jan,208,12982,4204,6082
  2006 Dec,219,10860,3706,na
  2006 Nov,287,11973,3548,na
  2006 Oct,281,10112,3869,na
  2006 Sep,276,14350,5736,na
  2006 Aug,280,12960,4072,na
  2006 Jul,265,11813,5463,na
  2006 Jun,272,12644,5663,na
  2006 May,357,14436,6247,na
